"","logFC","logCPM","F","PValue","FDR","EntrezID","Symbol","Regulated"
"223739",0.0459983025259882,6.85633124093138,0.378742302254823,0.550208755708186,0.983680996164539,"223739","5031439G07Rik","Normal"
"101700",0.075760664184077,2.42065624013511,0.378740945685646,0.550209701176895,0.983680996164539,"101700","Trim68","Normal"
"214742",0.0696296317876386,3.44445860709405,0.378615871087939,0.550274384705968,0.983680996164539,"214742","Rcor3","Normal"
"14686",-0.274379447661236,-0.281131952028602,0.378549343287539,0.550323311534102,0.983680996164539,"14686","Gnat2","Normal"
"77963",-0.0942722690595021,2.49067739361689,0.378456637819899,0.550357029516656,0.983680996164539,"77963","Hook1","Normal"
"17751",0.139329554635847,0.982298833252632,0.378226038731725,0.550477973900982,0.983680996164539,"17751","Mt3","Normal"
"244650",-0.0784553659082202,2.39720114292502,0.378024285565866,0.55058126508228,0.983680996164539,"244650","Phlpp2","Normal"
"53417",0.465836753667897,-2.13270854707558,0.376899319639197,0.550603048490609,0.983680996164539,"53417","Hif3a","Normal"
"11670",0.110530704547109,2.80365250563884,0.377725332675451,0.55073632639339,0.983680996164539,"11670","Aldh3a1","Normal"
"75871",0.0686760653671716,3.38618536508138,0.377569188416238,0.550817338107398,0.983680996164539,"75871","Zfp821","Normal"
"319190",0.083567557252676,2.84534409620657,0.377537572066652,0.55083380069384,0.983680996164539,"319190","H2bc21","Normal"
"12740",0.259863522453577,0.111828001874938,0.377222660471289,0.551003807931431,0.983680996164539,"12740","Cldn4","Normal"
"245522",0.105242640866639,2.14242465893776,0.377190887091153,0.551014029459894,0.983680996164539,"245522","Zc4h2","Normal"
"68267",0.0931453006292925,3.99536047955328,0.37716765697177,0.551025806335824,0.983680996164539,"68267","Slc25a22","Normal"
"245684",-0.0816739012322152,2.10902844879273,0.377118726499199,0.551051536973351,0.983680996164539,"245684","Cnksr2","Normal"
"72147",-0.0787944360673546,2.65246004990089,0.377036895141083,0.551093932552341,0.983680996164539,"72147","Zbtb46","Normal"
"319684",-0.420677470673852,-1.97417793181206,0.376476943922621,0.551147574390819,0.983680996164539,"319684","5031425F14Rik","Normal"
"12442",-0.232150042082629,-0.406807143654378,0.376882042123846,0.551193060891394,0.983680996164539,"12442","Ccnb2","Normal"
"20616",0.069991223881924,3.58349897660016,0.376773438455737,0.551230812438317,0.983680996164539,"20616","Snap91","Normal"
"333193",-0.143588959897037,1.41842717156625,0.376719707552518,0.551259551017331,0.983680996164539,"333193","Proser3","Normal"
"66787",-0.0447885635824283,4.71689596898772,0.376696697449272,0.551270620621397,0.983680996164539,"66787","Gskip","Normal"
"74018",-0.0622532826183941,5.70234103353627,0.376327304414818,0.551462792937312,0.983680996164539,"74018","Als2","Normal"
"105787",-0.0394151592050402,6.0567767137258,0.376238140220564,0.551509199900426,0.983680996164539,"105787","Prkaa1","Normal"
"108937",-0.0552392009897909,4.1785334844513,0.376213546870972,0.551522016697127,0.983680996164539,"108937","Rnf169","Normal"
"18549",0.187627766462383,0.000656801964061312,0.376218512531055,0.551527376507393,0.983680996164539,"18549","Pcsk2","Normal"
"114615",-0.0768631614973685,3.22591379425653,0.375928047678014,0.551670786400715,0.983680996164539,"114615","Elac1","Normal"
"50765",-0.18547162289979,-0.357242399597482,0.375870612342936,0.551717115508091,0.983680996164539,"50765","Tfr2","Normal"
"214254",-0.104882882783283,1.53471121089457,0.375697822500538,0.551791351459662,0.983680996164539,"214254","Nudt15","Normal"
"70465",0.0379741600999722,6.13423116274771,0.375387920754275,0.551952103702178,0.983680996164539,"70465","Wdr77","Normal"
"235293",0.0396812588089094,5.66498888841407,0.375238038602596,0.552030255181596,0.983680996164539,"235293","Sc5d","Normal"
"227446",0.0576092302516197,5.02678784087224,0.375025338821423,0.552141199923727,0.983680996164539,"227446","Relch","Normal"
"12038",0.139305077504468,1.74662465365014,0.374983611560948,0.552163541963726,0.983680996164539,"12038","Bche","Normal"
"268595",0.107966195312868,1.78664650243615,0.374903318542823,0.55220540936201,0.983680996164539,"268595","D430019H16Rik","Normal"
"58198",0.418815938728511,-2.02476161841058,0.374301640830628,0.552224207988294,0.983680996164539,"58198","Sall1","Normal"
"13595",-0.0431957806189318,5.04377132439403,0.374767414342325,0.552275789179916,0.983680996164539,"13595","Ebp","Normal"
"14163",0.0862619841472737,3.04764926522703,0.374673194179791,0.552325115628563,0.983680996164539,"14163","Fgd1","Normal"
"21689",-0.419384289161306,-1.97490943447946,0.374103891801939,0.552385502912386,0.983680996164539,"21689","Tekt1","Normal"
"70646",0.0442364391876282,5.69375222198564,0.374450382237739,0.552441307480902,0.983680996164539,"70646","Naa30","Normal"
"73103",-0.237368663424277,-0.564597470379123,0.374412463142579,0.552488253292562,0.983680996164539,"73103","3110009E18Rik","Normal"
"77532",-0.0694532284835118,3.32690141211478,0.374075746791449,0.552637151077144,0.983680996164539,"77532","Jrkl","Normal"
"65961",0.0411770337522792,5.91602855768786,0.374011294859553,0.552670714170148,0.983680996164539,"65961","Utp3","Normal"
"234069",0.0619072635024144,4.05841614864569,0.373682185300239,0.552842802880431,0.983680996164539,"234069","Pcid2","Normal"
"68936",-0.0601939097491985,3.93327280660753,0.373617558609444,0.552876620142837,0.983680996164539,"68936","Smim11","Normal"
"100217453",-0.303814041986238,-1.44045662233516,0.37383295588564,0.552900209773801,0.983680996164539,"100217453","Snord16a","Normal"
"74724",0.442413490925206,-2.58495330007367,0.368475053483938,0.552944580192517,0.983680996164539,"74724","4930512B01Rik","Normal"
"211151",-0.0672447268625557,3.71032426635016,0.373448053048172,0.552965351147771,0.983680996164539,"211151","Churc1","Normal"
"433931",-0.0619618463756781,3.33490074894145,0.373421637996984,0.552979205567509,0.983680996164539,"433931","Pigg","Normal"
"270086",-0.0488738527576373,5.47708486162445,0.373348922438694,0.553017136275153,0.983680996164539,"270086","Ogfod1","Normal"
"664849",0.0992068833433175,2.74059921294003,0.373209600006702,0.553090231717442,0.983680996164539,"664849","Gm7367","Normal"
"360198",-0.484641604875027,-2.07854511529338,0.372289345804269,0.55309879603311,0.983680996164539,"360198","H3c1","Normal"
"328417",-0.0920192278623386,4.38257895522806,0.37317079450958,0.553110379902805,0.983680996164539,"328417","Parp4","Normal"
"665119",0.185636173168279,-0.325917701687907,0.373010604310619,0.553209258543214,0.983680996164539,"665119","Sec14l5","Normal"
"100206",0.0664541692410513,3.4395152190222,0.372971999371254,0.55321457116512,0.983680996164539,"100206","Adprs","Normal"
"66396",-0.0981668263771421,2.29129722753141,0.372877355182238,0.553264295036774,0.983680996164539,"66396","Ccdc82","Normal"
"13426",-0.0601567801171233,3.67637761389521,0.372809171808518,0.553299831470871,0.983680996164539,"13426","Dync1i1","Normal"
"66836",0.061150159587092,4.40767308981134,0.372705656656894,0.553353983492707,0.983680996164539,"66836","Tmem223","Normal"
"231430",-0.102376930963878,2.52744679617665,0.372664446705407,0.553375783076042,0.983680996164539,"231430","Cox18","Normal"
"68842",-0.0775438263761033,8.89954415838773,0.371734777405435,0.553863127594878,0.983680996164539,"68842","Tulp4","Normal"
"20203",0.351115367157926,-1.83218199062691,0.371612240399408,0.553922693275016,0.983680996164539,"20203","S100b","Normal"
"20592",-0.0570693972919437,3.95156900031169,0.371502610790345,0.553985053375206,0.983680996164539,"20592","Kdm5d","Normal"
"67945",0.0425193488983596,8.92280787910972,0.371405485116506,0.554036027679665,0.983680996164539,"67945","Rpl41","Normal"
"28035",0.0484967038168101,5.39042079633299,0.37135157221608,0.554064348634489,0.983680996164539,"28035","Usp39","Normal"
"11556",0.528023898010988,-2.24768766987689,0.36938285534682,0.554156778657165,0.983680996164539,"11556","Adrb3","Normal"
"66766",0.466580433155435,-2.13296685227922,0.369941926964276,0.554249112799678,0.983680996164539,"66766","Tmem239","Normal"
"14347",0.613983589855593,-2.37404033450508,0.368002400758116,0.554317703574352,0.983680996164539,"14347","Fut7","Normal"
"210529",0.052903003726088,4.10734201328835,0.370766909588488,0.554371643754469,0.983680996164539,"210529","Mettl14","Normal"
"320700",-0.0810633260572845,2.45460060566935,0.370612915790424,0.554452848276361,0.983680996164539,"320700","A930033H14Rik","Normal"
"67526",-0.0414559433847121,6.26132631167497,0.370468615004962,0.554528530718916,0.983680996164539,"67526","Atg12","Normal"
"213573",-0.103772965666929,1.87234936294376,0.370169197410023,0.554686579693245,0.983680996164539,"213573","Cracr2b","Normal"
"233332",0.174612123117315,-0.203402102070117,0.369814858877245,0.554884306622964,0.983680996164539,"233332","Adamts17","Normal"
"20280",0.041480892399867,6.57730581956839,0.369307034707914,0.555140363562869,0.983680996164539,"20280","Scp2","Normal"
"56429",-0.0545929608838528,4.26560445521698,0.369257702728567,0.555166391330018,0.983680996164539,"56429","Dpt","Normal"
"100502778",-0.397679130043983,-1.66263929156427,0.369399191348193,0.555176399544608,0.983680996164539,"100502778",NA,"Normal"
"207607",-0.363315785772357,-1.58376629966746,0.36937506784648,0.555220417053988,0.983680996164539,"207607","Ccdc40","Normal"
"321006",-0.0653200329172214,5.50870761791082,0.369143722996141,0.555226492997303,0.983680996164539,"321006","Dcaf1","Normal"
"243833",-0.105164456417384,1.69804465127383,0.368939604172606,0.555334799241777,0.983680996164539,"243833","Zfp128","Normal"
"68659",0.0422173808509017,5.69008253502774,0.368889320484042,0.55536071213905,0.983680996164539,"68659","Gask1b","Normal"
"20425",-0.100038819347665,1.99863657818225,0.368790547666471,0.555413211651014,0.983680996164539,"20425","Shmt1","Normal"
"77531",0.215948264070876,-0.0102612765874961,0.36879929872162,0.555416284764138,0.983680996164539,"77531","Anks1b","Normal"
"116904",-0.0418123463725739,8.82159479970344,0.368741455435052,0.555438751551769,0.983680996164539,"116904","Alpk3","Normal"
"433855",-0.0887469373526171,3.24390943077204,0.368471615181582,0.555581355442964,0.983680996164539,"433855","AI506816","Normal"
"67579",-0.0818142847609299,5.41646055248502,0.368410817409295,0.555613339747564,0.983680996164539,"67579","Cpeb4","Normal"
"13543",0.0572812899852587,4.03927130720067,0.36830637963313,0.55566852490073,0.983680996164539,"13543","Dvl2","Normal"
"18150",0.0605639053722754,3.97302047357112,0.368173511529681,0.555738728997871,0.983680996164539,"18150","Npm3","Normal"
"245026",0.124706302209886,1.48397569565292,0.367884411942547,0.555892331321499,0.983680996164539,"245026","Col6a6","Normal"
"217232",-0.0441402379606123,6.42769061844949,0.36784378988987,0.55591299585586,0.983680996164539,"217232","Cdc27","Normal"
"232966",-0.421487550320955,-1.97447087663682,0.367395006478283,0.555915915093421,0.983680996164539,"232966","Zfp114","Normal"
"13033",0.033043793362038,10.2556357679461,0.367821692364674,0.555924679564499,0.983680996164539,"13033","Ctsd","Normal"
"319481",-0.0483170256418009,4.75432184814474,0.367805247588058,0.555933382576044,0.983680996164539,"319481","Wdr59","Normal"
"65099",0.092659039773829,2.15150159208475,0.36776360462035,0.555955703373184,0.983680996164539,"65099","Irak1bp1","Normal"
"29875",0.063677220190401,7.04337214517813,0.367667561877563,0.556006192328565,0.983680996164539,"29875","Iqgap1","Normal"
"380686",0.0989040251470078,2.34710095249185,0.367609521501872,0.556037147453649,0.983680996164539,"380686","Cnrip1","Normal"
